Borough,Reporting Construction Type,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units,Lower Income Units
0,1,0.0,0.0,0.0,0.0,0.0,26.0,10.0,6.0,0.0,0.0,42.0,0.0,42.0,42.0,42.0
0,1,0.0,0.0,1.0,0.0,1.0,25.0,16.0,0.0,0.0,0.0,42.0,0.0,42.0,42.0,41.0
0,1,0.0,0.0,0.0,0.0,1.0,11.0,9.0,1.0,0.0,0.0,22.0,0.0,22.0,22.0,22.0
0,1,0.0,0.0,1.0,0.0,0.0,39.0,33.0,0.0,0.0,0.0,72.0,0.0,72.0,72.0,71.0
0,1,0.0,0.0,1.0,0.0,13.0,11.0,1.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,24.0
0,1,0.0,0.0,0.0,1.0,12.0,12.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,25.0
0,1,0.0,0.0,0.0,1.0,24.0,8.0,7.0,0.0,0.0,0.0,40.0,0.0,40.0,40.0,40.0
0,1,0.0,0.0,1.0,0.0,23.0,6.0,6.0,0.0,0.0,0.0,35.0,0.0,35.0,35.0,34.0
0,1,0.0,0.0,1.0,2.0,20.0,21.0,5.0,0.0,0.0,0.0,48.0,0.0,48.0,48.0,47.0
0,0,0.0,0.0,1.0,92.0,19.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,111.0,111.0,110.0
0,1,6.0,0.0,1.0,0.0,34.0,34.0,34.0,0.0,0.0,0.0,102.0,0.0,102.0,102.0,95.0
2,1,2.0,3.0,0.0,0.0,0.0,1.0,5.0,3.0,2.0,0.0,11.0,0.0,11.0,19.0,6.0
2,1,3.0,5.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,10.0,0.0,10.0,10.0,2.0
2,1,2.0,5.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,10.0,0.0,10.0,10.0,3.0
2,1,1.0,6.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,10.0,0.0,10.0,10.0,3.0
2,1,2.0,6.0,1.0,1.0,0.0,3.0,12.0,3.0,0.0,0.0,19.0,0.0,19.0,21.0,10.0
1,1,0.0,0.0,0.0,0.0,2.0,16.0,7.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,25.0
3,1,3.0,0.0,1.0,18.0,51.0,14.0,0.0,0.0,0.0,0.0,83.0,0.0,83.0,83.0,79.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
2,1,1.0,0.0,1.0,0.0,78.0,72.0,22.0,0.0,0.0,0.0,172.0,0.0,172.0,172.0,170.0
2,1,0.0,0.0,1.0,5.0,10.0,1.0,4.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,19.0
2,1,0.0,0.0,0.0,0.0,14.0,5.0,15.0,5.0,0.0,0.0,39.0,0.0,39.0,39.0,39.0
4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
