"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","Georeference"
"09/02/2025 01:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Seniors & Disability","2","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 01:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Other","6","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 01:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","1","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 01:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Full Fare","21","2","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 01:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","2","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 02:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","3","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 02:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","1","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 02:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Full Fare","1","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 02:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Other","6","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 02:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Full Fare","11","1","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 02:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Fair Fare","1","1","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 03:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Full Fare","9","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 03:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Other","1","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 03:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Full Fare","2","1","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 03:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Seniors & Disability","1","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
